"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Sub-Saharan Africa (IFC classification)","CAA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","319892630978.051","356735932974.221","388423921106.497","417673957313.815","328828103280.934","401704667006.918","460922654689.952","474910551465.653","",
"East Asia and the Pacific (IFC classification)","CEA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145441671905.784","162212557924.454","187256891000.603","227680712735.506","204829818912.802","246037162602.136","320425758513.484","296148091077.521","",
"Channel Islands","CHI","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30429161940.0592","35862937983.8246","43967666407.2083","57662856824.1887","40102639070.6903","55474224588.5925","70910798717.8399","74855107519.6876","",
"China","CHN","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561648873864.913","663502901168.725","817033070246.823","985716018424.406","880968723974.51","1230686683253.66","1569850355753.12","1653346880737.75","",
"Cote d'Ivoire","CIV","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5096798804.8057","5209413890.09504","5937002009.54885","6882248061.64262","6911208396.05474","7788624607.99752","","","",
"Latin America and the Caribbean (IFC classification)","CLA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2883569407.26441","3168178111.52126","4221281493.94672","5357871463.55718","4272046943.11447","4625896014.1665","6232483986.82106","6031217115.54082","",
"Congo, Rep.","COG","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1305481685.19227","2003480235.60761","2858115875.68123","","","","","","",
"Colombia","COL","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20095391907.5345","24811065005.1815","31128748709.241","37511430491.2029","31428077546.0838","38405822452.7133","52126974893.6176","56648275140.4979","",
"Comoros","COM","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cape Verde","CPV","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","427188640.021743","544733643.818235","731888892.139299","816395825.795565","756691859.128376","805821410.807034","1039674035.8913","878680379.561094","",
"Costa Rica","CRI","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6337563771.10015","7306475243.1018","9000669448.49939","11198688697.3274","8207639344.1245","9819145848.1277","11867713747.87","12741121349.7963","",
"South Asia (IFC classification)","CSA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18015662606.5199","20228887005.8246","23401514886.8347","28097924082.8525","20488190274.1073","20636355452.2093","26559168422.275","","",
"Cuba","CUB","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5785975202.67204","6296563756.27991","7947375378.76117","9931140586.11022","7299331864.05368","7692323246.59914","7950453147.74543","6754971249.05206","",
"Czech Republic","CZE","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63700198355.148","77047288117.4593","98004895475.8948","116175070407.496","89619620809.9931","106144658469.031","125196639907.401","119049894906.909","",
"Germany","DEU","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","742212237706.765","883669422510.713","1027395416232.03","1178721857614.01","938190210822.084","1073062715454.84","1294680808032.99","1221965086668.12","",
"Djibouti","DJI","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","277316693.018832","335717219.687038","473230512.995087","574135864.64177","450712071.167729","373889410.930616","510581191.868152","538141243.859758","",
"Dominica","DMA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145931881.851852","146868561.11111","172344386.296296","217377036.296296","198225145.555556","196921632.222222","198936543.703704","182707547.407406","",
"Denmark","DNK","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75152574718.2174","87683928924.6322","100462054043.435","114226810857.338","82126261185.4382","85357691537.9752","100295902900.34","96767330192.7225","",
"Dominican Republic","DOM","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7366300000","9558800000","11097300000","13564000000","9946100000","13025300000","14537300000","14965500000","",
"Algeria","DZA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19816999999.9991","20520000000.0008","26376000000","38013000000","37388000000.0017","38792000000","46800967102.3722","51508891623.959","",
"East Asia & Pacific (developing only)","EAP","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","925683977354.994","1068520002215.08","1280082568062.73","1548928581113.66","1322656800520.79","1822974442310.28","2299240662691.97","2446965694681.6","",
