"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Bosnia and Herzegovina","BIH","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66736468.3604304","176780594.760508","146075610.876644","118495219.813023","267769568.956599","381784637.391406","709849622.140637","623812851.5592","845962876.4","1804047024","1004852660","138511019.727863","443840207.092831","468733718.600274","349607722.787202","",
"Belarus","BLR","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7000000","17600000","10500000","14700000","104500000","351600000","203200000","444000000","118800000","95800000","247100000","171800000","163800000","306600000","357100000","1807300000","2187900000","1876500000","1393400000","4002400000","1463600000","",
"Belize","BLZ","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","7090000","3340000","","","","","","","2000000","-50000","","-2000000","","","-3700000","3700000","4600000","6850000","14000000","18650000","17200000","13600000","15600000","9200000","15369500","21050000","16580000","11955000","17650000","53579000","23340762.4266666","61162972.8668778","25386719.6632397","-10924755.7533455","111496166.355423","126908465.922063","108828544.6","140373737.3","169668449.5","108840086.423874","96449877.08","95348525.1917313","194201408.788436","",
"Bermuda","BMU","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34700000","102700000","60500000","66900000","41800000","5400000","12900000","831600000","43700000","-88170000","617153591.8","171529641.6","-70747817.17","222710475.853259","111156880.582908","132761095.074378","",
"Bolivia","BOL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","19764000","1900000","16205000","4600000","44233000","61597000","-8100000","-1200000","11500000","67000000","91000000","148900000","61200000","13000000","13000000","19000000","20000000","67800000","-10100000","-24400000","27200000","52000000","93100000","123800000","130200000","392700000","474100000","730600000","949300000","1010500000","736350000","705756000","676543000","197400000","65430000","-238620000","280763457","366294241.5","512335605.2","423040000","621997989.5","858941070.400943","1059965390.78481","",
"Brazil","BRA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","1302000000","1555000000","1833000000","2006000000","2419000000","1911000000","2520000000","2910000000","1609000000","1594000000","1441000000","345000000","1169000000","2804000000","1131000000","989000000","1103000000","2061000000","1292000000","3072000000","4859000000","11200000000","19650000000","31913000000","28576000000","32779239699.75","22457353372.251","16590204193.114","10143524670.9901","18165693855.2842","15459981604.1196","19378093068","44579492464","50716402711","31480932200","53344632547","71538657409.37","76110663188.77","",
"Barbados","BRB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","8649999.995675","16102275.5620894","17280140.1799462","5614477.69141483","2386482.67676702","22933659.9332719","6900000","4900000","9000000","5350000","2800000","8400000","4650000","3650000","50000","4850000","7750000","7100000","11550000","8350000","11200000","7400000","14450000","9400000","12950000","11750000","13300000","14800000","15750000","17350000","19400000","18550000","17400000","58250000","-12100000","238261395.8643","342244377.2","451704577","462037883.775","458155604.11","668827625.285","532300000","356372288.21","",
"Brunei Darussalam","BRN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60694643.6567847","229671955.675395","123820911.146426","113205866.961457","175068516.562807","87839128.31","257635717.5","222184549.5","325586827.8","625667609.9034","1208299216.98","850000000","",
"Bhutan","BTN","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600000","600000","10","10","10","50000","1400000","-700000","","1050274.7623","","","2425411.8983","3370306.5262","8859907.5392","6210884.3537","6122702.143","73809257.56","3097097.254","6544516.78893941","18990259.63","26063914.1968333","9622110.23738738","",
"Botswana","BWA","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","-38268702.2467827","11270002.8304612","12233365.1123827","40813517.2929934","127851715.071269","111550709.397601","88438639.8238063","21074900.8946109","23793769.119755","62154696.152543","53611787.5922366","70404390.657485","113583514.209603","39921524.1272293","42186013.0205888","95889963.0424101","-8211493.78284392","-1564184.90561567","-286949434.086852","-14154569.0110668","70413220.7555473","71182310.7136662","100109748.737479","95318134.9210105","36675065.7829259","57176113.2760084","-69760471.3776901","731805998.336473","770536365.631388","748096578.501244","278591244.149754","486389937.9","494586995.6","520918029.5","128840735.92546","-6121431.346","413586011.806408","292521951.071894","",
