List Date,Company,Group,Sector,Sub Sector,Country of Incorporation,Market,Ord Shares,Dep Receipts,Fixed Int,Warrants,MarketCapInMillions,International Main Market,FCA Listing Category,
12-Dec-00,STELLAR RESOURCES PLC              ,5555,Media,Media Agencies,GB,AIM,YES,NO,NO,NO,4.9565695855,N,,
15-Sep-05,STEPPE CEMENT                      ,2353,Construction & Materials,Building Materials & Fixtures,MY,AIM,YES,NO,NO,NO,78.2925,N,,
21-Oct-02,STERLING ENERGY                    ,533,Oil & Gas Producers,Exploration & Production,GB,AIM,YES,NO,NO,NO,51.9876441,N,,
25-Mar-60,STEWART & WIGHT                    ,8633,Real Estate Investment & Services,Real Estate Holding & Development,GB,Main Market,YES,NO,NO,NO,7.91444585,N,Premium,
16-Nov-05,STHREE PLC                         ,2793,Support Services,Business Training & Employment Agencies,GB,Main Market,YES,NO,NO,NO,369.289887,N,Premium,
12-Sep-49,STILFONTEIN GOLD MINING CO         ,1777,Mining,Gold Mining,ZA,Main Market,YES,NO,NO,NO,0,Y,,
30-Aug-00,STILO INTERNATIONAL                ,9535,Software & Computer Services,Internet,GB,AIM,YES,NO,NO,NO,3.4315146875,N,,
28-Mar-07,STM GROUP PLC                      ,8771,General Financial,Asset Managers,IM,AIM,YES,NO,NO,NO,12.025473525,N,,
21-Sep-07,STOBART GROUP LTD                  ,2777,Industrial Transportation,Transportation Services,GG,Main Market,YES,NO,NO,NO,320.25249595,N,Premium,
25-Oct-13,STOCK SPIRITS GROUP PLC            ,3535,Beverages,Distillers & Vintners,GB,Main Market,YES,NO,NO,NO,610,N,Premium,
19-Jul-05,STRATEGIC EQUITY CAPITAL           ,8985,Equity Investment Instruments,Equity Investment Instruments,GB,Main Market,YES,NO,NO,NO,116.29067721,N,Premium,
8-Jun-11,STRATEGIC MINERALS PLC             ,1757,Industrial Metals,Steel,GB,AIM,YES,NO,NO,NO,2.2361720148,N,,
4-Jan-06,STRATEX INTERNATIONAL              ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,10.395450891,N,,
29-Jan-13,STRATMIN GLOBAL RESOURCES PLC      ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,8.17943368125,N,,
25-Mar-73,STV GROUP PLC                      ,5553,Media,Broadcasting & Entertainment,GB,Main Market,YES,NO,NO,NO,145.4033807,N,Premium,
26-Jun-14,STYLES & WOOD GROUP PLC            ,2791,Support Services,Business Support Services,GB,AIM,YES,NO,NO,NO,5.224113635,N,Premium,
9-Mar-07,SUBEX LTD                          ,9537,Software & Computer Services,Software,IN,PSM,NO,YES,NO,NO,29.3271846638445,N,Standard,
3-Dec-96,SUEZ CEMENT CO                     ,2353,Construction & Materials,Building Materials & Fixtures,EG,Main Market,NO,YES,NO,NO,0,Y,Standard,
9-Oct-12,SULA IRON & GOLD PLC               ,1775,Mining,General Mining,GB,AIM,YES,NO,NO,NO,5.8408128785,N,,
14-Oct-04,SUMMIT CORP PLC                    ,4577,Pharmaceuticals & Biotechnology,Pharmaceuticals,GB,AIM,YES,NO,NO,NO,54.4063709,N,,
