Country Code,Import Partner,value
MOZ,IND,8.4
MOZ,USA,6.6
MOZ,AUS,6.1
MOZ,PRT,4.4
NCL,FRA,33.8
NCL,SGP,19.2
NCL,AUS,11.9
NCL,NZL,4.7
NCL,CHN,4.4
NER,FRA,15.6
NER,CHN,9.7
NER,NGA,8.9
NER,PYF,8.5
NER,BEL,6.9
NER,IND,6.1
NER,TGO,4.7
VUT,CHN,26.7
VUT,SGP,21.2
VUT,AUS,13.6
VUT,NZL,7.2
VUT,FJI,6.7
VUT,JPN,5.4
NGA,CHN,17.3
NGA,USA,9.1
NGA,IND,5
NGA,NLD,4.9
NGA,KOR,4.7
NLD,DEU,14.5
NLD,CHN,11.8
NLD,BEL,8.6
NLD,GBR,6.1
NLD,RUS,6
NLD,USA,5.9
NLD,FRA,4
NOR,SWE,13.3
NOR,DEU,12
NOR,CHN,9
NOR,DNK,6.3
NOR,GBR,5.6
NOR,USA,5.4
NOR,NLD,4.1
NPL,IND,57
NPL,CHN,25.9
SUR,USA,26.1
SUR,NLD,15.6
SUR,UAE,8.6
SUR,CHN,8.2
SUR,ATG,7.4
SUR,BRA,4.4
SUR,JPN,4.1
NIC,USA,21.3
NIC,VEN,14
NIC,CRI,8.7
NIC,CHN,8.5
NIC,MEX,8.2
NIC,GTM,8
NIC,SLV,5.4
NZL,CHN,16.1
NZL,AUS,15.9
NZL,USA,10.4
NZL,JPN,6.3
NZL,SGP,4.6
NZL,DEU,4.3
PRY,BRA,27.5
PRY,CHN,16.9
PRY,USA,15
PRY,ARG,14.8
PRY,CHL,4.4
PER,USA,24.5
PER,CHN,13.7
PER,BRA,6.7
PER,CHL,5.9
PER,ECU,4.4
PER,KOR,4
PAK,UAE,17.2
PAK,CHN,15
PAK,SAU,11.2
PAK,KWT,8.9
PAK,MYS,5.4
PAK,JPN,4.3
POL,DEU,28.7
POL,RUS,10.3
POL,NLD,5.9
POL,ITA,5.3
POL,CHN,5.3
POL,FRA,4.4
POL,CZE,4.3
PAN,JPN,23.5
PAN,CHN,23
PAN,SGP,18.1
PAN,USA,13
PAN,KOR,6
PRT,ESP,31.8
PRT,DEU,12.4
PRT,FRA,6.9
PRT,ITA,5.4
PRT,NLD,4.8
PNG,AUS,36.9
PNG,SGP,14.1
PNG,MYS,9.1
PNG,CHN,7
PNG,JPN,5
PNG,IDN,4.7
PNG,USA,4.7
GNB,PRT,27.8
GNB,SEN,15.4
GNB,CHN,4.6
QAT,USA,12.7
QAT,UAE,12.3
QAT,SAU,9.3
QAT,GBR,6.2
QAT,CHN,5.4
QAT,DEU,5.2
QAT,JPN,4.6
QAT,FRA,4.6
QAT,ITA,4.5
ROU,DEU,17.2
ROU,ITA,11.4
ROU,HUN,8.8
ROU,FRA,5.8
ROU,CHN,4.6
ROU,KAZ,4.2
ROU,AUT,4
PHL,JPN,10.8
PHL,USA,10.8
PHL,CHN,10.1
PHL,SGP,8.1
PHL,KOR,7.3
PHL,THA,5.8
PHL,SAU,5.4
PHL,MYS,4.4
SRB,CHN,15.5
SRB,DEU,10
SRB,UKR,6.6
SRB,ITA,4.3
RWA,KEN,18.3
RWA,UGA,16.5
RWA,USA,10.5
RWA,UAE,8.9
RWA,CHN,5.8
SAU,CHN,12.8
SAU,USA,11.9
SAU,DEU,7.1
SAU,KOR,6
