"Data Source","World Development Indicators",

"Iraq","IRQ","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3400","3400","3400","3900","3900","3550","3550","3550","3550",
"Iceland","ISL","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1269","1269","1269","1109","1532","1532","1532","1465","1530",
"Israel","ISR","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","560","560","665","665","670","610","620","620",
"Italy","ITA","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1267","1267","1267","1281","1281","1295","1295","1195","1195",
"Jamaica","JAM","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410","1410","1410","1410","1410","1410","1410","1500","1530",
"Jordan","JOR","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","720","680","680","730","730","825","825","825","825",
"Japan","JPN","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","859","859","859","859","859","880","880","880","890",
"Kazakhstan","KAZ","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2730","2730","2730","3005","3005","3005","3130","4685","4885",
"Kenya","KEN","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1980","1955","1955","2055","2055","2055","2055","2255","2255",
"Kyrgyz Republic","KGZ","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2500","2500","2500","3000","3000","3010","3210","4160","4360",
"Cambodia","KHM","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","736","722","722","732","732","732","732","755","795",
"Kiribati","KIR","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1550","1550","1300","820","820","820","870","870","870",
"St. Kitts and Nevis","KNA","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","400","400","500","500","500","500","805","805",
"Korea, Rep.","KOR","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","780","780","745","767","742","790","680","665","670",
"Kosovo","KSV","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2270","2230","2270","1775","1775",
"Kuwait","KWT","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935","935","935","995","1060","1060","1085","1085","1085",
"Latin America & Caribbean (developing only)","LAC","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1087","1087.04","1053.76","1194.08","1211.28","1213.84","1267.68","1300.76","1363.2",
"Lao PDR","LAO","Cost to export (US$ per container)","IC.EXP.COST.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1420","1420","1750","1860","1860","1860","1880","2140","1950",
