Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Germany,DEU,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31639E+11,1.08054E+12,1.30021E+12,1.4465E+12,1.12167E+12,1.28247E+12,1.51593E+12,1.46012E+12,
Djibouti,DJI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500115.35,55170745.16,53116964.23,63751610.67,71764169.68,78662622.88,84964635.58,111359940.6,
Dominica,DMA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42909028.89,44259658.15,39018382.59,43885135.19,36815298.89,34530507.41,32622581.48,40617791.85,
Denmark,DNK,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82485529565,90732356244,1.00882E+11,1.15137E+11,91108109868,94865886916,1.1061E+11,1.04874E+11,
Dominican Republic,DOM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395100000,1931400000,2635100000,2393400000,1689300000,2536100000,3678000000,4091400000,
Algeria,DZA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46334000000,54740000000,60591000000,78590000000,45186000000,57090000000,72779523484,71558167892,
Ecuador,ECU,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10461690881,13170091670,14864155482,19454767463,14406025924,18131092038,23076323024,24647608777,
"Egypt, Arab Rep.",EGY,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16073200000,20545600000,24454600000,29849000000,23089300000,25024200000,27913400000,26834500000,
Eritrea,ERI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93284E+11,2.16014E+11,2.58401E+11,2.78963E+11,2.25526E+11,2.53697E+11,3.03349E+11,2.9162E+11,
